GENESIS-Tabelle: 11111-0002
Gebietsfläche: Kreise, Stichtag;;;;;;;;;;;;;;;;;;;;;;;
Feststellung des Gebietsstands;;;;;;;;;;;;;;;;;;;;;;;
Gebietsfläche (qkm);;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016
01001;Flensburg, kreisfreie Stadt;56,44;56,44;56,44;56,44;56,44;56,46;56,46;56,38;56,37;56,38;56,38;56,38;56,38;56,74;56,74;56,74;56,74;56,74;56,74;56,74;56,74;56,74
01002;Kiel, kreisfreie Stadt;116,82;116,82;117,30;118,39;118,39;118,39;118,39;118,39;118,39;118,40;118,40;118,65;118,65;118,65;118,65;118,65;118,65;118,65;118,65;118,65;118,65;118,65
01003;Lübeck, kreisfreie Stadt;214,16;214,14;214,14;214,14;214,14;214,14;214,14;214,14;214,14;214,13;214,13;214,23;214,20;214,20;214,21;214,21;214,21;214,21;214,21;214,21;214,21;214,21
01004;Neumünster, kreisfreie Stadt;71,56;71,56;71,56;71,56;71,56;71,57;71,57;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63;71,63
01051;Dithmarschen, Landkreis;1436,49;1436,35;1436,35;1433,68;1429,22;1429,37;1428,63;1428,70;1428,18;1428,21;1428,20;1428,06;1428,01;1428,07;1428,01;1427,84;1428,09;1428,08;1428,09;1428,12;1428,13;1428,14
01053;Herzogtum Lauenburg, Landkreis;1263,01;1263,01;1263,01;1263,01;1263,01;1263,01;1263,00;1263,06;1263,17;1263,07;1262,90;1262,78;1262,99;1263,02;1262,97;1262,97;1262,97;1262,97;1262,97;1262,97;1262,98;1263,04
01054;Nordfriesland, Landkreis;2049,44;2049,42;2049,43;2049,30;2049,32;2047,86;2047,02;2048,50;2048,43;2048,54;2084,00;2083,10;2083,08;2083,08;2082,81;2082,81;2082,82;2082,82;2082,82;2082,82;2082,81;2083,01
01055;Ostholstein, Landkreis;1391,54;1391,56;1391,56;1391,48;1391,48;1391,48;1391,49;1391,51;1391,96;1391,97;1392,00;1392,01;1392,02;1392,01;1392,26;1392,60;1392,59;1392,68;1392,68;1392,58;1392,59;1392,59
01056;Pinneberg, Landkreis;664,27;664,27;664,28;664,28;664,28;664,26;664,11;664,09;664,24;664,23;664,23;664,24;664,27;664,27;664,25;664,25;664,25;664,25;664,25;664,25;664,25;664,25
01057;Plön, Landkreis;1082,43;1082,57;1082,59;1082,62;1082,69;1082,70;1082,71;1082,73;1082,91;1083,09;1083,10;1083,14;1083,15;1083,19;1083,19;1083,19;1083,20;1083,19;1083,19;1083,19;1083,19;1083,20
01058;Rendsburg-Eckernförde, Landkreis;2185,75;2185,76;2185,28;2185,46;2185,53;2185,49;2185,48;2185,43;2185,40;2185,47;2185,90;2186,32;2186,33;2186,33;2186,25;2186,25;2186,22;2186,22;2186,23;2189,15;2189,15;2189,25
01059;Schleswig-Flensburg, Landkreis;2071,52;2071,50;2071,51;2071,62;2071,61;2071,59;2071,59;2071,61;2071,57;2071,58;2071,70;2071,65;2071,56;2071,21;2071,27;2071,27;2071,35;2071,35;2071,35;2071,34;2071,33;2071,13
01060;Segeberg, Landkreis;1344,32;1344,32;1344,32;1344,35;1344,35;1344,36;1344,39;1344,33;1344,37;1344,37;1344,40;1344,38;1344,38;1344,39;1344,41;1344,40;1344,41;1344,41;1344,41;1344,41;1344,41;1344,42
01061;Steinburg, Landkreis;1056,25;1056,25;1056,26;1056,11;1056,12;1056,14;1056,14;1056,12;1056,14;1056,07;1056,10;1056,11;1056,11;1056,11;1056,13;1056,14;1056,14;1056,14;1056,14;1056,14;1056,15;1055,72
01062;Stormarn, Landkreis;766,28;766,29;766,29;766,27;766,28;766,27;766,27;766,28;766,28;766,28;766,28;766,31;766,32;766,32;766,28;766,29;766,29;766,29;766,29;766,29;766,29;766,29
02000;Hamburg, kreisfreie Stadt;755,33;755,33;755,33;755,33;755,33;755,33;755,33;755,26;755,33;755,24;755,24;755,16;755,25;755,16;755,16;755,16;755,30;755,33;755,22;755,22;755,22;755,09
03101;Braunschweig, kreisfreie Stadt;192,07;192,07;192,07;192,07;192,08;192,09;192,08;192,09;192,09;192,09;192,13;192,14;191,85;192,15;192,15;192,15;192,16;192,17;192,17;192,17;192,18;192,70
03102;Salzgitter, kreisfreie Stadt;223,94;223,94;223,93;223,93;223,94;223,94;223,94;223,94;223,96;223,91;223,90;223,90;223,90;223,90;223,91;223,91;223,91;223,92;223,92;223,92;223,92;224,49
03103;Wolfsburg, kreisfreie Stadt;203,99;203,99;203,98;203,99;204,00;204,00;204,01;204,01;204,01;204,01;204,02;204,02;204,03;204,03;204,05;204,05;204,05;204,05;204,06;204,08;204,09;204,61
03151;Gifhorn, Landkreis;1561,96;1561,92;1562,09;1562,46;1562,51;1562,72;1562,73;1562,79;1562,78;1562,79;1562,80;1562,78;1562,78;1562,78;1562,79;1562,80;1562,81;1562,81;1562,83;1562,84;1562,86;1567,58
03152;Göttingen, Landkreis (bis 31.10.2016);1117,34;1117,09;1117,17;1116,98;1117,12;1116,58;1117,20;1117,28;1117,43;1117,45;1117,50;1117,50;1117,61;1117,63;1117,23;1117,23;1117,24;1117,24;1117,24;1117,24;1117,39;-
03153;Goslar, Landkreis;965,03;965,04;965,04;965,03;965,03;965,03;965,03;965,03;965,03;965,05;965,07;965,07;965,14;965,21;965,23;965,29;965,29;965,29;965,29;965,29;965,29;966,72
03154;Helmstedt, Landkreis;673,76;673,76;673,76;673,76;673,77;673,78;673,77;673,77;673,76;673,77;673,80;673,80;673,81;673,81;673,84;673,95;673,95;673,96;674,00;674,02;674,03;676,15
03155;Northeim, Landkreis;1266,64;1266,73;1266,68;1266,73;1266,62;1266,94;1266,76;1267,31;1266,76;1266,87;1267,00;1267,06;1267,07;1267,06;1267,04;1267,06;1267,06;1267,06;1267,06;1267,07;1267,08;1268,77
03156;Osterode am Harz, Landkreis (bis 31.10.2016);636,11;636,11;636,11;636,11;636,11;636,11;636,10;635,99;635,99;635,99;635,99;635,99;636,00;636,00;636,00;636,01;636,01;636,01;636,02;636,02;636,02;-
