GENESIS-Tabelle: 12411-0010
Bevölkerung: Bundesländer, Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1958;31.12.1959;31.12.1960;31.12.1961;31.12.1962;31.12.1963;31.12.1964;31.12.1965;31.12.1966;31.12.1967;31.12.1968;31.12.1969;31.12.1970;31.12.1971;31.12.1972;31.12.1973;31.12.1974;31.12.1975;31.12.1976;31.12.1977;31.12.1978;31.12.1979;31.12.1980;31.12.1981;31.12.1982;31.12.1983;31.12.1984;31.12.1985;31.12.1986;31.12.1987;31.12.1988;31.12.1989;31.12.1990;31.12.1991;31.12.1992;31.12.1993;31.12.1994;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018
Baden-Württemberg;7433007;7560698;7726859;7838682;7990638;8108335;8257397;8426202;8534106;8565471;8713893;8909699;8953607;9055114;9154152;9239376;9226240;9152748;9119266;9120453;9137790;9190052;9258947;9287921;9270608;9243301;9241083;9271370;9326780;9330488;9432709;9618696;9822027;10001840;10148708;10234026;10272069;10319367;10374505;10396610;10426040;10475932;10524415;10600906;10661320;10692556;10717419;10735701;10738753;10749755;10749506;10744921;10753880;10512441;10569111;10631278;10716644;10879618;10951893;11023425;11069533
Bayern;9278029;9370992;9494939;9593770;9731231;9846637;9976153;10100944;10216769;10280351;10405639;10568917;10561110;10690951;10778661;10852761;10849122;10810389;10804236;10819318;10831371;10870968;10928151;10959203;10966717;10969503;10957544;10973720;11026490;10949700;11049263;11220735;11448823;11595970;11770257;11863313;11921944;11993484;12043869;12066375;12086548;12154967;12230255;12329714;12387351;12423386;12443893;12468726;12492658;12520332;12519728;12510331;12538696;12443372;12519571;12604244;12691568;12843514;12930751;12997204;13076721
Berlin;2226000;2207984;2202241;2188540;2174013;2186193;2200228;2197262;2185403;2163306;2141441;2134256;2115311;2083998;2062615;2047948;2023987;1984837;1950706;1926826;1909706;1902250;1896230;1888669;1869584;1854502;1848585;1860084;1879225;2028716;2068313;2130525;3433695;3446031;3465748;3475392;3472009;3471418;3458763;3425759;3398822;3386667;3382169;3388434;3392425;3388477;3387828;3395189;3404037;3416255;3431675;3442675;3460725;3326002;3375222;3421829;3469849;3520031;3574830;3613495;3644826
Brandenburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2578312;2542723;2542651;2537661;2536747;2542042;2554441;2573291;2590375;2601207;2601962;2593040;2582379;2574521;2567704;2559483;2547772;2535737;2522493;2511525;2503273;2453180;2449511;2449193;2457872;2484826;2494648;2504040;2511917
Bremen;677533;691636;704287;712151;718332;724839;732621;742461;749649;751785;754193;755977;735452;739094;734330;728843;723959;716805;709972;703169;698277;695115;693846;691366;685388;676933;665615;659898;654170;658891;661992;673684;681665;683684;685845;683096;680029;679757;677770;673883;667965;663065;660225;659651;662098;663129;663213;663467;663979;663082;661866;661716;660706;652182;654774;657391;661888;671489;678753;681032;682986
Hamburg;1807640;1823574;1836958;1840515;1847495;1854637;1857431;1854361;1847267;1832560;1822837;1817122;1793640;1781621;1766214;1751621;1733802;1717383;1698615;1680340;1664305;1653043;1645095;1637132;1623848;1609531;1592447;1579884;1571267;1594190;1603070;1626220;1652363;1668757;1688785;1702887;1705872;1707901;1707986;1704731;1700089;1704735;1715392;1726363;1728806;1734083;1734830;1743627;1754182;1770629;1772100;1774224;1786448;1718187;1734272;1746342;1762791;1787408;1810438;1830584;1841179
Hessen;4651483;4702808;4783352;4861250;4936942;5004893;5086611;5170449;5239723;5262729;5333200;5422567;5424529;5489728;5532965;5583822;5576081;5549823;5538432;5540585;5553508;5576085;5601031;5611851;5599799;5564964;5535185;5529413;5543657;5524637;5568892;5660619;5763310;5837330;5922639;5967305;5980693;6009913;6027284;6031705;6035137;6051966;6068129;6077826;6091618;6089428;6097765;6092354;6075359;6072555;6064953;6061951;6067021;5993771;6016481;6045425;6093888;6176172;6213088;6243262;6265809
Mecklenburg-Vorpommern;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1923959;1891657;1864980;1843455;1832298;1823084;1817196;1807799;1798689;1789322;1775703;1759877;1744624;1732226;1719653;1707266;1693754;1679682;1664356;1651216;1642327;1606899;1600327;1596505;1599138;1612362;1610674;1611119;1609675
Niedersachsen;6515582;6538416;6576137;6674534;6731562;6786416;6854481;6921000;6967216;6993194;7039169;7100417;7121824;7180500;7214828;7259205;7264840;7238502;7226897;7224165;7225167;7234000;7256386;7267106;7256769;7248536;7216304;7196918;7196127;7163602;7184943;7283795;7387245;7475790;7577520;7648004;7715363;7780422;7815148;7845398;7865840;7898760;7926193;7956416;7980472;7993415;8000909;7993946;7982685;7971684;7947244;7928815;7918293;7774253;7778995;7790559;7826739;7926599;7945685;7962775;7982448
