Datum;Schluss;Eröffnung;Tageshoch;Tagestief
31.12.2019;58,82;59,4;59,65;58,49
30.12.2019;61,1;60,88;61,59;60,85
27.12.2019;61;60,77;61,15;60,47
26.12.2019;61,21;60,62;61,27;60,58
24.12.2019;60,6;59,91;60,65;59,84
23.12.2019;59,86;59,64;60,06;59,33
20.12.2019;59,7;60,08;60,23;59,31
19.12.2019;59,81;59,49;60,02;59,35
18.12.2019;59,53;59,23;59,76;58,98
17.12.2019;59,26;58,56;59,39;58,39
16.12.2019;58,64;58,38;58,93;58,23
13.12.2019;58,65;58,06;59,16;58
12.12.2019;57,41;57,14;57,99;57,11
11.12.2019;57,23;57,48;57,71;56,59
10.12.2019;58;57,72;58,32;57,5
09.12.2019;58,06;58,09;58,28;57,48
06.12.2019;58,23;57,34;58,67;56,82
05.12.2019;57,07;56,7;57,54;56,5
04.12.2019;56,87;55,13;57,33;55,06
03.12.2019;54,88;55,09;55,57;54,42
02.12.2019;55;54,83;56,06;54,82
29.11.2019;56,66;57,88;57,96;56,6
28.11.2019;58;58,04;58,12;57,39
27.11.2019;58,2;58,17;58,69;57,7
26.11.2019;58,3;57,79;58,35;57,55
25.11.2019;57,78;57,74;57,92;57,16
22.11.2019;57,55;57,76;58,35;57,18
21.11.2019;57,83;56,25;57,89;55,98
20.11.2019;56,34;55,02;56,7;54,44
19.11.2019;54,98;56,22;56,48;54,79
18.11.2019;56,39;57,22;57,41;55,94
15.11.2019;57,26;56,51;57,58;55,81
14.11.2019;56,49;56,79;57,34;56,37
13.11.2019;56,66;56,19;57;55,62
12.11.2019;56,35;56,39;57,07;56,13
11.11.2019;56,37;56,75;56,89;55,81
08.11.2019;56,73;56,53;56,9;55,05
07.11.2019;56,37;55,86;56,91;55,79
06.11.2019;55,77;56,71;57,2;55,64
05.11.2019;56,85;56,02;57,05;55,84
04.11.2019;55,85;55,56;56,44;55,09
01.11.2019;55,25;;55,37;53,2
31.10.2019;54,02;54,32;54,82;53,87
30.10.2019;54,34;55,23;55,53;54,2
29.10.2019;55,41;55,43;55,76;54,58
28.10.2019;55,48;55,9;56,17;55,13
25.10.2019;55,97;55,5;56,06;54,99
24.10.2019;55,53;54,92;55,74;54,6
23.10.2019;54,95;53,43;55,07;52,87
22.10.2019;53,66;53,08;54,17;52,81
21.10.2019;52,89;53,13;53,42;52,26
18.10.2019;53,19;53,51;53,97;52,82
17.10.2019;53,85;53,02;53,96;52,75
16.10.2019;53,67;53,2;53,96;52,71
15.10.2019;53,24;53,75;54,09;52,57
14.10.2019;53,82;55,04;55,08;53,05
11.10.2019;54,8;53,91;54,96;53,62
10.10.2019;53,69;52,73;54,14;52,51
09.10.2019;53,14;52,87;54,08;52,77
08.10.2019;53,16;53,37;53,78;52,37
07.10.2019;53,18;52,88;54,4;52,88
04.10.2019;53,17;52,55;53,7;52,53
03.10.2019;52,6;52,45;52,86;51,18
02.10.2019;52,63;54,05;54,28;52,2
01.10.2019;53,88;54,33;54,99;53,44
30.09.2019;55,77;57,11;57,11;55,73
27.09.2019;56,59;57,11;57,36;55,54
26.09.2019;57,46;57,32;57,63;56,28
25.09.2019;57,01;57,06;57,39;55,95
24.09.2019;57,27;58,45;58,64;56,55
23.09.2019;58,91;59,33;59,57;57,78
20.09.2019;58,4;59,05;59,31;58,19
19.09.2019;58,32;57,52;59,38;57,47
18.09.2019;57,64;58,22;58,9;57,14
17.09.2019;58,3;61,55;62,56;57,4
16.09.2019;62,75;60,42;65,42;58,87
13.09.2019;54,38;54,59;54,91;53,82
12.09.2019;54,57;55,27;55,48;53,25
11.09.2019;55,24;57,12;57,47;54,98
10.09.2019;56,46;56,86;57,73;56,27
09.09.2019;56,65;55,76;57,02;55,73
06.09.2019;55,28;54,63;55,59;53,36
05.09.2019;55,23;54,81;56,54;54,59
04.09.2019;55,01;52,72;55,25;52,68
03.09.2019;53,1;53,35;53,65;52,16
02.09.2019;53,47;53,6;54,02;52,96
30.08.2019;54,88;55,38;55,56;54,72
29.08.2019;55,23;54,69;55,33;54,24
28.08.2019;54,58;54,18;55,04;53,96
27.08.2019;53,65;53,01;54,24;52,75
26.08.2019;52,88;52,56;54,2;52,46
23.08.2019;52,79;53,48;53,64;51,87
22.08.2019;54,08;54,54;54,96;53,68
21.08.2019;54,38;54,21;55,38;54,17
20.08.2019;54,08;53,77;54,34;53,11
19.08.2019;53,91;52,99;54,08;52,92
16.08.2019;52,8;52,59;53,57;52,48
15.08.2019;52,43;53,19;53,5;51,93
14.08.2019;53,4;54,83;54,83;52,26
13.08.2019;54,87;52,33;55,05;51,91
12.08.2019;52,22;51,98;52,5;51,6
09.08.2019;51,75;51,05;52,26;50,5
08.08.2019;51,26;51,35;51,82;50,71
07.08.2019;50,19;52,37;52,86;49,87
06.08.2019;52,61;53,17;54,06;52,27
05.08.2019;53,37;54,84;54,93;53,24
02.08.2019;55,7;55,04;56,65;54,88
01.08.2019;54,6;57,84;58,24;54,16
31.07.2019;58,85;58,66;59,08;58,66
30.07.2019;58,01;57,29;58,39;57,28
29.07.2019;57,17;56,82;57,34;56,46
26.07.2019;56,99;56,83;57,44;56,59
25.07.2019;56,87;56,71;57,62;56,53
24.07.2019;56,7;57,55;58,03;56,17
23.07.2019;57,24;56,73;57,8;56,19
